evaluated_session,train_start,baseline_loss_SPY,model_loss_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_rmse,model_rmse,model_within_spread,baseline_within_spread,learned_coverage
2023-10-09,2023-01-04,1.2045317787585229e-05,3.420294452286155e-06,2023-10-04,108,11281,104,1.0,1.2045317787585229e-05,3.420294452286155e-06,0.0034706365104379957,0.0018494038099577267,0.057692307692307696,0.0,1.0
2023-10-11,2023-01-04,1.9482033282591192e-05,9.024602204286475e-06,2023-10-06,109,11397,101,0.01,1.9482033282591192e-05,9.024602204286475e-06,0.004413845634205074,0.0030040975690357455,0.09900990099009901,0.039603960396039604,1.0
2023-10-13,2023-01-04,1.438232592902048e-05,3.782969679876354e-06,2023-10-09,110,11501,117,0.01,1.438232592902048e-05,3.782969679876354e-06,0.003792403713876,0.0019449857788365328,0.10256410256410256,0.05128205128205128,1.0
2023-10-16,2023-01-04,1.6857559521654318e-05,5.541747583784965e-06,2023-10-11,111,11602,105,0.01,1.6857559521654318e-05,5.541747583784965e-06,0.004105795845101692,0.0023540916685178097,0.0380952380952381,0.01904761904761905,1.0
2023-10-18,2023-01-04,2.533863157804109e-05,8.833681901252783e-06,2023-10-13,112,11719,107,0.01,2.533863157804109e-05,8.833681901252783e-06,0.005033749256572191,0.002972151056264264,0.11214953271028037,0.056074766355140186,1.0
2023-10-20,2023-01-04,2.5055126983296507e-05,7.1904200893863725e-06,2023-10-16,113,11824,127,0.01,2.5055126983296507e-05,7.1904200893863725e-06,0.005005509662691353,0.0026814958678667345,0.10236220472440945,0.007874015748031496,1.0
2023-10-23,2023-01-04,2.856899747943236e-05,1.2711660691035256e-05,2023-10-18,114,11931,103,0.01,2.856899747943236e-05,1.2711660691035256e-05,0.005344997425577711,0.0035653415952802132,0.07766990291262135,0.11650485436893204,1.0
2023-10-25,2023-01-04,2.5152445396561205e-05,8.658506650060533e-06,2023-10-20,115,12058,110,0.01,2.5152445396561205e-05,8.658506650060533e-06,0.005015221370643693,0.002942534052489543,0.2909090909090909,0.17272727272727273,1.0
2023-10-27,2023-01-04,2.146984180136054e-05,6.665578335440202e-06,2023-10-23,116,12161,126,0.01,2.146984180136054e-05,6.665578335440202e-06,0.004633556064337685,0.002581778134433748,0.0873015873015873,0.0,1.0
2023-10-30,2023-01-04,1.884072387009579e-05,4.304402125869578e-06,2023-10-25,117,12271,114,0.01,1.884072387009579e-05,4.304402125869578e-06,0.004340590267474666,0.002074705310609094,0.07894736842105263,0.0,1.0
