evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,baseline_loss_SPY,model_loss_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_rmse,model_rmse,model_within_spread,baseline_within_spread,learned_coverage
2025-12-31,2024-12-27,1.5225442332408434e-05,6.0134174524376646e-06,5.963597721201582e-06,1.1576460263552825e-05,2025-12-29,250,56235,308,1.0,1.0203598013994329e-05,9.029742613009846e-06,0.0031943071258090272,0.0030049530134446103,0.4025974025974026,0.30844155844155846,1.0
2026-01-02,2024-12-30,1.918367118308125e-05,5.130086847978248e-06,5.44078085096238e-06,1.2214845432678658e-05,2025-12-30,250,56364,303,100.0,1.1654562948323058e-05,9.011505742566589e-06,0.0034138779925947937,0.003001917011272395,0.3234323432343234,0.22442244224422442,1.0
2026-01-05,2024-12-31,2.0030076378666697e-05,4.1239529600949484e-06,4.484382116547168e-06,1.0460692410660297e-05,2025-12-31,250,56490,314,0.01,1.1811652023533443e-05,7.47394897536198e-06,0.0034368084065791974,0.0027338524055555706,0.32802547770700635,0.20063694267515925,1.0
2026-01-06,2025-01-02,2.0658408062687432e-05,5.133661706391904e-06,5.548361402621105e-06,1.2198357715450449e-05,2026-01-02,250,56616,307,0.01,1.1897534103430733e-05,9.229804669298813e-06,0.0034492802297625418,0.003038059359080861,0.26058631921824105,0.19218241042345277,1.0
2026-01-07,2025-01-03,2.6055631983847013e-05,7.234168991728397e-06,5.571802618197762e-06,1.1022017098592103e-05,2026-01-05,250,56728,292,0.01,1.4059964786840086e-05,9.45239510910406e-06,0.0037496619563422095,0.0030744747696320523,0.23972602739726026,0.1780821917808219,1.0
2026-01-08,2025-01-06,4.1472499577571726e-05,8.486667901965669e-06,7.2099378721289865e-06,1.0183938670795896e-05,2026-01-06,250,56840,319,0.01,2.2676423406874297e-05,9.417772555712657e-06,0.004761976838128709,0.0030688389589081824,0.30407523510971785,0.20689655172413793,1.0
2026-01-09,2025-01-07,3.7287594978197824e-05,7.290675727919563e-06,5.793295054615804e-06,1.1697040355723107e-05,2026-01-07,250,56944,309,0.01,1.9858710554467968e-05,9.729149356898222e-06,0.004456311317050007,0.0031191584372869266,0.2815533980582524,0.2168284789644013,1.0
2026-01-12,2025-01-08,4.135136939939074e-05,1.0124324376761056e-05,5.859136060709305e-06,9.552270203487343e-06,2026-01-08,250,57066,323,0.01,2.267124658955841e-05,9.823243232932785e-06,0.004761433249512001,0.003134205359087497,0.3157894736842105,0.24148606811145512,1.0
2026-01-13,2025-01-10,6.167487907462954e-05,1.0305732881026437e-05,1.2714456120112195e-05,1.0044966581562339e-05,2026-01-09,250,57185,339,0.01,3.611147239926208e-05,1.016958056537704e-05,0.006009282186689362,0.0031889779813252146,0.2153392330383481,0.1592920353982301,1.0
2026-01-14,2025-01-13,6.272327744278723e-05,1.1784552695747355e-05,1.529947330174447e-05,8.839426060411304e-06,2026-01-12,250,57330,329,0.01,3.865101211891447e-05,1.028960999635185e-05,0.006216993816863136,0.003207742196055015,0.1762917933130699,0.12158054711246201,1.0
2026-01-15,2025-01-14,6.16559262117027e-05,1.0454575047809255e-05,1.1939812380904355e-05,9.20631035786466e-06,2026-01-13,250,57478,342,0.01,3.563491926517375e-05,9.801243528803165e-06,0.005969499079920672,0.0031306937775520565,0.2543859649122807,0.17251461988304093,1.0
2026-01-16,2025-01-15,7.772504836263047e-05,1.107884091029713e-05,1.2115822073881748e-05,8.73152304480718e-06,2026-01-14,250,57621,342,0.01,4.3769396160558765e-05,9.86400096236812e-06,0.006615844327110393,0.0031407007120017216,0.22807017543859648,0.1695906432748538,1.0
2026-01-20,2025-01-16,0.00015350528177144286,4.6350248545410085e-05,2.7614256359096498e-05,6.043016790550141e-06,2026-01-15,250,57770,352,0.01,8.841389931392287e-05,2.5509577581249544e-05,0.009402866547703571,0.005050700702006559,0.1903409090909091,0.10795454545454546,1.0
2026-01-21,2025-01-17,9.998903003119194e-05,2.706234161889393e-05,1.2245069919705541e-05,6.761944504361488e-06,2026-01-16,250,57921,350,0.01,5.561565591766882e-05,1.679614079240181e-05,0.007457590490075787,0.004098309504222663,0.2,0.1457142857142857,1.0
2026-01-22,2025-01-21,9.500915711829564e-05,2.336644162799633e-05,8.676252936588171e-06,8.02040974982927e-06,2026-01-20,250,58075,345,0.01,5.1217104272502004e-05,1.558222255936086e-05,0.007156612625572381,0.003947432400860192,0.24347826086956523,0.19420289855072465,1.0
2026-01-23,2025-01-22,9.921021865363457e-05,2.423860580386409e-05,1.0223017710752304e-05,7.967201785789545e-06,2026-01-21,250,58223,336,0.01,5.471661818219343e-05,1.6102903794826816e-05,0.007397068215326491,0.00401284235858161,0.24107142857142858,0.1488095238095238,1.0
2026-01-26,2025-01-23,9.409738420942963e-05,2.1694607858584003e-05,9.03282772105768e-06,7.3222119254341365e-06,2026-01-22,250,58376,343,0.01,5.119310353162103e-05,1.4445556848569639e-05,0.007154935606392347,0.0038007310939567455,0.22740524781341107,0.1924198250728863,1.0
2026-01-27,2025-01-24,6.863854431926428e-05,1.5682924881098496e-05,9.432438116773065e-06,7.619982849416354e-06,2026-01-23,250,58516,334,0.01,3.744011709878987e-05,1.1434188960212097e-05,0.006118832985038067,0.003381447760976369,0.2694610778443114,0.19461077844311378,1.0
2026-01-28,2025-01-27,8.072818516983329e-05,2.0827023403732334e-05,1.01371483645691e-05,7.337673338815053e-06,2026-01-26,250,58656,330,0.01,4.414919337074185e-05,1.383708746100247e-05,0.00664448593728227,0.0037198235792847045,0.3242424242424242,0.23939393939393938,1.0
2026-01-29,2025-01-28,9.648166962239044e-05,3.137382057835296e-05,1.1832827837643287e-05,6.958346760117341e-06,2026-01-27,250,58785,276,1.0,4.18893006452709e-05,1.562760920282419e-05,0.0064721944227032376,0.003953177102385396,0.35507246376811596,0.2463768115942029,1.0
2026-01-30,2025-01-29,4.403180334134784e-05,6.396659418333761e-06,1.43607617442843e-05,6.403619121632672e-06,2026-01-28,250,58915,319,1.0,2.7940611503441904e-05,6.400433802881446e-06,0.005285887957897131,0.002529907864504446,0.3072100313479624,0.15673981191222572,1.0
2026-02-02,2025-01-30,2.3200859272934823e-05,2.6833648496116343e-06,1.0360425155472747e-05,7.88675364296906e-06,2026-01-29,250,59024,301,1.0,1.577814984955143e-05,5.691303886303301e-06,0.0039721719310160065,0.0023856453815065013,0.43521594684385384,0.23588039867109634,1.0
2026-02-03,2025-01-31,2.3731820815437802e-05,4.13141242785144e-06,1.7330325069329075e-05,5.877763087513679e-06,2026-01-30,250,59150,272,1.0,1.9519071776638307e-05,5.2806652516732815e-06,0.004418039358882886,0.002297969810870735,0.31985294117647056,0.20220588235294118,1.0
2026-02-04,2025-02-03,2.1902716493877952e-05,4.033744644892869e-06,2.1267531693896838e-05,5.6095596693459975e-06,2026-02-02,250,59258,301,100.0,2.1531312757011923e-05,4.955151436599682e-06,0.004640184560662638,0.0022260169443649083,0.31893687707641194,0.22259136212624583,1.0
2026-02-05,2025-02-04,3.943133365705747e-05,8.836554618435211e-06,3.632396943403885e-05,6.4844749050175525e-06,2026-02-03,250,59335,329,100.0,3.774070084270996e-05,7.55685167405296e-06,0.006143346062424773,0.002748972839817258,0.303951367781155,0.1702127659574468,1.0
2026-02-06,2025-02-05,1.8648438528674523e-05,2.866556090740448e-06,1.3510160493611898e-05,5.1464444920063845e-06,2026-02-04,250,59437,344,100.0,1.6034488946883947e-05,4.026383039058875e-06,0.004004308797643352,0.0020065849194736,0.3168604651162791,0.21220930232558138,1.0
2026-02-09,2025-02-06,1.6906894276075826e-05,3.476181934275869e-06,1.0174805967768334e-05,5.9184968428800845e-06,2026-02-05,250,59583,316,1.0,1.3199984891121702e-05,4.8210009029376834e-06,0.0036331783456254527,0.002195677777575226,0.379746835443038,0.24050632911392406,1.0
2026-02-10,2025-02-07,2.042764688713433e-05,3.834443799316321e-06,1.199130892442397e-05,6.3436975176326025e-06,2026-02-06,250,59763,338,1.0,1.5959882108065826e-05,5.163308934164292e-06,0.003994982116113391,0.0022722915601137744,0.3609467455621302,0.23964497041420119,1.0
2026-02-11,2025-02-10,2.5135367788218472e-05,5.236678624661693e-06,1.1558131419964983e-05,6.562625455386278e-06,2026-02-09,250,59897,319,100.0,1.764447875745793e-05,5.968235496785602e-06,0.004200533151572301,0.0024429972363442416,0.4200626959247649,0.2476489028213166,1.0
2026-02-12,2025-02-11,5.688786992699046e-05,1.2466428349927725e-05,3.0390279218366634e-05,5.330632062298092e-06,2026-02-10,250,60046,344,0.01,4.279176789304233e-05,8.670350673659636e-06,0.006541541706130316,0.002944545919774327,0.2616279069767442,0.18313953488372092,1.0
