date,act_symbol,open,high,low,close
2019-02-15,AAPL,171.4700,171.7000,169.7500,170.4200
2019-02-19,AAPL,169.5500,171.4400,169.4900,170.9300
2019-02-20,AAPL,171.1000,173.3200,170.9900,172.0300
2019-02-21,AAPL,171.8000,172.3700,170.3000,171.0600
2019-02-22,AAPL,171.3800,173.0000,171.3800,172.9700
2019-02-25,AAPL,173.9900,175.8700,173.9500,174.2300
2019-02-26,AAPL,173.6200,175.3000,173.1730,174.3300
2019-02-27,AAPL,173.2300,175.0000,172.7300,174.8700
2019-02-28,AAPL,174.3200,174.9100,172.9200,173.1500
2019-03-01,AAPL,174.2300,175.1500,172.8900,174.9700
2019-03-04,AAPL,175.6400,177.7500,173.9700,175.8500
2019-03-05,AAPL,175.8600,176.0000,174.5400,175.5300
2019-03-06,AAPL,174.6700,175.4900,173.9400,174.5200
2019-03-07,AAPL,173.8700,174.4400,172.0200,172.5000
2019-03-08,AAPL,170.3200,173.0700,169.5000,172.9100
2019-03-11,AAPL,175.4100,179.1200,175.3500,178.9000
2019-03-12,AAPL,180.0000,182.6700,179.3700,180.9100
2019-03-13,AAPL,182.2900,183.3000,180.9200,181.7100
2019-03-14,AAPL,183.9000,184.1000,182.5600,183.7300
2019-03-15,AAPL,184.7000,187.3300,183.7400,186.1200
2019-03-18,AAPL,185.9000,188.3900,185.7900,188.0200
2019-03-19,AAPL,188.4000,188.9900,185.9200,186.5300
2019-03-20,AAPL,186.2300,189.4900,184.7300,188.1600
2019-03-21,AAPL,190.0000,196.3300,189.8100,195.0900
2019-03-22,AAPL,195.2800,197.6900,190.7800,191.0500
2019-03-25,AAPL,191.5400,191.9800,186.6000,188.7400
2019-03-26,AAPL,191.6000,192.8800,184.5800,186.7900
2019-03-27,AAPL,188.7100,189.7600,186.5500,188.4700
2019-03-28,AAPL,188.9400,189.5590,187.5300,188.7200
2019-03-29,AAPL,189.8500,190.0800,188.5400,189.9500
2019-04-01,AAPL,191.5700,191.6800,188.3800,191.2400
2019-04-02,AAPL,191.0500,194.4600,191.0500,194.0200
2019-04-03,AAPL,193.2500,196.5000,193.1500,195.3500
2019-04-04,AAPL,194.8000,196.3700,193.1400,195.6900
2019-04-05,AAPL,196.4100,197.1000,195.9300,197.0000
2019-04-08,AAPL,196.4200,200.2300,196.3400,200.1000
2019-04-09,AAPL,200.3200,202.8500,199.2300,199.5000
2019-04-10,AAPL,198.7700,200.7400,198.1800,200.6200
2019-04-11,AAPL,200.7400,201.0000,198.4430,198.9500
2019-04-12,AAPL,199.1400,200.1400,196.2100,198.8700
2019-04-15,AAPL,198.5300,199.8500,198.0100,199.2300
2019-04-16,AAPL,199.3200,201.3700,198.5600,199.2500
2019-04-17,AAPL,199.2800,203.3800,198.6100,203.1300
2019-04-18,AAPL,203.4500,204.1500,202.5200,203.8600
2019-04-22,AAPL,202.6600,204.9400,202.3400,204.5300
2019-04-23,AAPL,204.4300,207.7500,203.9000,207.4800
2019-04-24,AAPL,207.2500,208.4800,207.0500,207.1600
2019-04-25,AAPL,206.6600,207.7600,205.1200,205.2800
2019-04-26,AAPL,204.8600,205.0000,202.1200,204.3000
2019-04-29,AAPL,204.3100,205.9700,203.8600,204.6100
2019-04-30,AAPL,203.0000,203.4000,199.1100,200.6700
2019-05-01,AAPL,210.2000,215.3100,209.2300,210.5200
2019-05-02,AAPL,209.6500,212.6500,208.1300,209.1500
2019-05-03,AAPL,210.7800,211.8400,210.2300,211.7500
2019-05-06,AAPL,204.1600,208.8400,203.5000,208.4800
2019-05-07,AAPL,205.8600,207.4170,200.8250,202.8600
2019-05-08,AAPL,201.9000,205.3400,201.7500,202.9000
2019-05-09,AAPL,200.4900,201.6800,196.6600,200.7200
2019-05-10,AAPL,197.4700,198.8500,192.7700,197.1800
2019-05-13,AAPL,187.4800,189.4800,182.8500,185.7200
2019-05-14,AAPL,186.3300,189.7000,185.4100,188.6600
2019-05-15,AAPL,186.2700,191.7500,186.0200,190.9200
2019-05-16,AAPL,189.8800,192.4690,188.8400,190.0800
2019-05-17,AAPL,187.0400,190.9000,186.7600,189.0000
2019-05-20,AAPL,183.5000,184.3490,180.2840,183.0900
2019-05-21,AAPL,185.0500,188.0000,184.7000,186.6000
2019-05-22,AAPL,184.6600,185.7100,182.5500,182.7800
2019-05-23,AAPL,179.7200,180.5400,177.8100,179.6600
2019-05-24,AAPL,180.2000,182.1400,178.6200,178.9700
2019-05-28,AAPL,178.9000,180.5900,177.9100,178.2300
2019-05-29,AAPL,176.4400,179.3500,176.0000,177.3800
2019-05-30,AAPL,177.9500,179.2300,176.6700,178.3000
2019-05-31,AAPL,176.0000,177.9900,174.9900,175.0700
2019-06-03,AAPL,175.4400,177.9200,170.2700,173.3000
2019-06-04,AAPL,175.4300,179.8300,174.5200,179.6400
